key,fr,wo,en
app.back,"Retour","Génn","Back"
app.cancel,"Annuler","Wàññi","Cancel"
app.close,"Fermer","Tugg","Close"
app.confirm,"Confirmer","Seetlu","Confirm"
app.delete,"Supprimer","Sàcc","Delete"
app.done,"Terminé","Jeex na","Done"
app.edit,"Modifier","Soppi","Edit"
app.error,"Une erreur est survenue","Njàngat bu amul","An error occurred"
app.loading,"Chargement en cours…","Mi ngi fey…","Loading…"
app.name,"SunuSàv","SunuSàv","SunuSàv"
app.next,"Suivant","Ci kanam","Next"
app.offline,"Mode hors-ligne activé","Jokkoo dul nekk","Offline mode enabled"
app.open,"Ouvrir","Ubbi","Open"
app.previous,"Précédent","Ci gannaaw","Previous"
app.queued,"Transaction mise en file d'attente","Naan - offline","Transaction queued"
app.refresh,"Actualiser","Fayale","Refresh"
app.retry,"Réessayer","Jéemaatal","Retry"
app.save,"Enregistrer","Fay","Save"
app.success,"Opération réussie","Li nga def am na","Operation successful"
app.syncing,"Synchronisation en cours…","Mi ngi yóbbu…","Syncing in progress…"
app.tagline,"Nos économies, notre avenir","Sunu xaalis, sunu jamm","Our savings, our future"
app.welcome,"Bienvenue, {{name}}","Bëgg nga ci, {{name}}","Welcome, {{name}}"
auth.create_account,"Créer un nouveau compte","Sos kont bu bees","Create new account"
auth.disclaimer,"En continuant, vous acceptez nos conditions d'utilisation","Ci jëkka, ngeen nangal sunu xeet","By continuing, you accept our terms of use"
auth.enter_phone,"Entrez votre numéro de téléphone","Dugal sa numéro telefoon","Enter your phone number"
auth.forgot_password,"Mot de passe oublié?","Jàppal sa password?","Forgot password?"
auth.invalid_code,"Code invalide","Code bi du baax","Invalid code"
auth.invalid_phone,"Numéro de téléphone invalide","Téléphone bu bonul","Invalid phone number"
auth.login,"Connexion","Dugg","Login"
auth.login_failed,"Échec de la connexion","Jëkk bi jàpp","Login failed"
auth.logout,"Déconnexion","Génn","Logout"
auth.nostr_login,"Connexion via clé Nostr","Dugg ak Nostr","Login with Nostr"
auth.phone_login,"Connexion par téléphone","Dugg ak téléfoon","Login with phone"
auth.phone_number,"Numéro de Téléphone","Téléphone","Phone Number"
auth.remember_me,"Se souvenir de moi","Fàttal ma","Remember me"
auth.signup,"Créer un compte","Sos ak kont","Create account"
auth.verify,"Vérifier","Seetlu","Verify"
auth.welcome_back,"Bon retour parmi nous","Bëgg nga ci","Welcome back"
community.community,"Communauté","Gëstu","Community"
community.empowerment,"Autonomisation","Wàll","Empowerment"
community.entrepreneurs,"Entrepreneurs","Jëfandikukat","Entrepreneurs"
community.farmers,"Agriculteurs","Ngor","Farmers"
community.financial_inclusion,"Inclusion financière","Dugg ci xaalis","Financial inclusion"
community.investment,"Investissement","Jëfandikoo","Investment"
community.savings,"Épargne","Fayale","Savings"
community.solidarity,"Solidarité","Jëfandikoo","Solidarity"
community.students,"Étudiants","Jàngalekat","Students"
community.traditional_tontines,"Tontines traditionnelles modernisées","Tontine yu cosaan yi","Traditional tontines modernized"
community.trust,"Confiance","Gëm","Trust"
community.women,"Femmes","Jigéen","Women"
community.youth,"Jeunes","Xale","Youth"
errors.account_locked,"Compte verrouillé.","Kont bi ñu tugg na.","Account locked."
errors.already_member,"Vous êtes déjà membre de ce groupe.","Yaa ngi ci group bi.","You are already a member of this group."
errors.contribution_due,"Contribution en retard.","Jox bi ñu wut.","Contribution overdue."
errors.expired_code,"Code de vérification expiré.","Code bi dugg na.","Verification code expired."
errors.forbidden,"Accès interdit.","Duggul.","Access forbidden."
errors.group_full,"Le groupe est complet.","Group bi jeex na.","Group is full."
errors.insufficient_funds,"Fonds insuffisants.","Xaalis amul.","Insufficient funds."
errors.invalid_amount,"Montant invalide.","Yoon bi du baax.","Invalid amount."
errors.invalid_code,"Code de vérification invalide.","Code bi du baax.","Invalid verification code."
errors.invalid_phone,"Numéro de téléphone invalide.","Téléphone bu bonul.","Invalid phone number."
errors.maintenance,"Maintenance en cours.","Mi ngi defar.","Maintenance in progress."
errors.network,"Pas de connexion Internet.","Jokkoo dul nekk.","No internet connection."
errors.not_found,"Ressource non trouvée.","Gisul.","Resource not found."
errors.not_member,"Vous n'êtes pas membre de ce groupe.","Duggul ci group bi.","You are not a member of this group."
errors.server,"Erreur serveur. Veuillez réessayer plus tard.","Njàngat ci serveur bi.","Server error. Please try again later."
errors.timeout,"Délai d'attente dépassé.","Waxtu bi dugg na.","Request timeout."
errors.unauthorized,"Accès non autorisé.","Duggul.","Unauthorized access."
errors.unknown,"Erreur inconnue.","Njàngat bu kenn xamul.","Unknown error."
errors.validation,"Données invalides.","Xam-xam yi du baax.","Invalid data."
frequency.daily,"Quotidien","Bés bu nekk","Daily"
frequency.monthly,"Mensuel","Weer","Monthly"
frequency.quarterly,"Trimestriel","Fukki weer","Quarterly"
frequency.weekly,"Hebdomadaire","Ayubés","Weekly"
frequency.yearly,"Annuel","At","Yearly"
notifications.contribution_reminder,"Rappel: votre contribution est due","Xal: sa jox ñu wut ko tey","Reminder: your contribution is due today"
notifications.contribution_success,"Votre contribution de {{amount}} sats a été reçue.","Jox nga {{amount}} sats. Jërëjëf!","Your contribution of {{amount}} sats has been received."
notifications.group_completed,"Félicitations! Votre groupe a terminé un cycle","Félicitations! Sa group jeex na jëf","Congratulations! Your group completed a cycle"
notifications.low_balance,"Votre solde est faible","Sa jëfandikukat tuuti na","Your balance is low"
notifications.network_error,"Erreur de connexion réseau","Njàngat ci jokkoo","Network connection error"
notifications.new_group_member,"Un nouveau membre a rejoint votre groupe","Nit bu bees dimloo na sa group","A new member joined your group"
notifications.offline_queue,"Votre transaction a été enregistrée hors-ligne.","Sa jox mi ngi naan — offline.","Your transaction has been queued offline."
notifications.payout_available,"Votre paiement est maintenant disponible","Sa jox mi ngi pare tey","Your payout is now available"
notifications.payout_received,"Vous avez reçu votre paiement de {{amount}} sats 🎉","Jot nga {{amount}} sats 🎉","You received your payment of {{amount}} sats 🎉"
notifications.sync_complete,"Toutes les données sont à jour.","Yóbbu bi pare na.","All data is up to date."
onboarding.add_members,"Ajouter des membres","Daajal nit","Add Members"
onboarding.amount_placeholder,"ex: 10000","Dugal yoon bi","e.g., 10000"
onboarding.amount_required,"Le montant de contribution est requis","Yoon bi ñu wut","Contribution amount is required"
onboarding.creating,"Création...","Mi ngi sos","Creating..."
onboarding.description,"Description","Wax ci tontine bi","Description"
onboarding.description_placeholder,"Description optionnelle...","Wax ci tontine bi","Optional description..."
onboarding.failed_to_create_tontine,"Échec de création de la tontine","Sos tontine bi jàpp","Failed to create tontine"
onboarding.get_started,"Commencer","Jëkka","Get started"
onboarding.max_members,"Membres maximum","Nit ñi ñu am","Maximum Members"
onboarding.max_members_placeholder,"ex: 12","Dugal nit ñi ñu am","e.g., 12"
onboarding.members_added,"membres ajoutés","Nit ñi ñu daaj nañu","members added"
onboarding.members_note,"Vous pouvez ajouter des membres maintenant ou les inviter plus tard par SMS ou QR code","Xal ci nit ñi","You can add members now or invite them later via SMS or QR code"
onboarding.min_members_required,"Minimum 2 membres requis","Nit ñi ñu wut","Minimum 2 members required"
onboarding.name_required,"Le nom du groupe est requis","Tur bi ñu wut","Group name is required"
onboarding.next_step,"Étape suivante","Jëkk ci kanam","Next step"
onboarding.previous_step,"Étape précédente","Génn ci gannaaw","Previous step"
onboarding.skip,"Passer","Dàq","Skip"
onboarding.step,"Étape","Jëkk","Step"
onboarding.step_1_desc,"Formez un cercle d'épargne avec vos proches","Sos ak sa mbokk yi","Form a savings circle with your loved ones"
onboarding.step_1_subtitle,"Configurez les détails de votre groupe tontine","Sos ak sa mbokk yi","Set up your tontine group details"
onboarding.step_1_title,"Informations de base","Sos sa group","Basic Information"
onboarding.step_2_desc,"Chaque membre contribue un montant fixe","Keneen keneen jox yoon bu wóor","Each member contributes a fixed amount"
